article_id_parent,article_id_child,group_reprint_id,reprint_type,,,
,ArkansasCityTraveler1892,,,,,
,TheOmahaDailyBee1892,,,,,
,TheStPaulDailyNews1892,,,,,
,ChicagoDailyTribune1892,,,,,
,TheWichitaDailyEagle1892,,,,,
,TheUpperDesMoines1892,,,,,
,BismarckDailyTribune1892,,,,,
,CurrentLiterature1892,,,,,
,TimesOfIndia1892,,,,,
,EveningNews1892,,,,,
,TheTimaruHerald1892,,,,,
,ThamesAdvertiser1892,,,,,
,MillennialStar1892,,,,,
,TheOtagoWitness1892,,,,,
,TheWesternChampion1892,,,,,
,LakeWakatipMail1892,,,,,
,,,,,,
,,,,,,
Gibbons1893,,,,,,
,NewYorkRecorder1893,,,,,
,StLouisRepublic1893,,,,,
,,,,,,
,,,,,,
Chicago Blade (see StillSearching),,,,,,
,Eames1892,,,,,
,Eames1893,,,,,
,TheCincinnatiEnquirer1895,,,,,
,NewYorkTimes1895,,,,,
,TheSun1896,,,,,
,MorningTribune1896,,,,,
,SanDiegoUnion1896,,,,,
,Los Angeles Globe-Democrat (see StillSearching),,,,,
,TheCincinnatiEnquirer1897,,,,,
,BuffaloCourierRecord1897,,,,,
,TheBryanDailyEagle1897,,,,,
,MorningOregonian1897,,,,,
,TheTimes1899,,,,,
,TheLeavenworthTimes1900,,,,,
,TheDeseretEveningNews1900,,,,,
,Chicago Record (see StillSearching),,,,,
,DemocratAndChronicle1901,,,,,
,ThePittsburgPress1901,,,,,
,Tinsley1901,,,,,
,TheNewYorkPress1901,,,,,
,Oregonian1901,,,,,
,ChicagoDailyTribune1902,,,,,
,TheBrooklynDailyEagle1904,,,,,
,ThePittsburgPress1904,,,,,
,ClevelandPlainDealer1904,,,,,
,TheDearbornIndependent1920,,,,,
,TheOxnardDailyCourier1920,,,,,
,,,,,,
,,,,,,
Roberts1886,,,,,,
TheMorningCall1893,,,,,,
,SanFranciscoChronicle1893_Jul7,,,,,
,SanFranciscoChronicle1893_Jul8,,,,,
,SanFranciscoChronicle1893_Jul10,,,,,
,Roberts1893,,,,,
,ArizonaWeeklyJournalMiner1893,,,,,
,GreenburghRegister1893_Aug11,,,,,
,GreenburghRegister1893_Aug25,,,,,
,TheEastHamptonStar1893,,,,,
,TheWilsonMirror1893,,,,,
,TheMalvernLeader1893,,,,,
,,,,,,
,,,,,,
Robinson1891,,,,,,
Robinson1897,,,,,,
,,,,,,
,,,,,,
Bowers1892,,,,,,
,Mathis1899,,,,,
,TheCincinnatiEnquirer1899,,,,,
,,,,,,
,,,,,,
SanFranciscoChronicle1894,,,,,,
Exchange (see StillSearching),,,,,,
,DemocratAndChronicle1894,,,,,
,,,,,,
