article_id,group_id_type,reprint_type
SacramentoDailyUnion1853_Nov15,DailyAltaCalifornia1853_reprint,truncated
LowellDailyCitizenAndNews1857,Russell1856_HCF_reprint,truncated
Russell1856_EB3(42),Russell1856_HCF_reprint,truncated
NewOrleansDailyCrescent1857,Russell1856_HCF_reprint,truncated
WilmingtonJournal1857,Russell1856_HCF_reprint,truncated
WesternDemocrat1857,Russell1856_HCF_reprint,truncated
TheMemphisDailyAppeal1857,Russell1856_HCF_reprint,truncated
HolmesCountyRepublican1857,Russell1856_HCF_reprint,truncated
CommercialAdvertiser1857,Russell1856_HCF_reprint,truncated
TheArgus1857,Russell1856_HCF_reprint,truncated
TheGoulburnHerald1857,Russell1856_HCF_reprint,truncated
NewYorkHerald1879,Stuart1878_reprint,truncated
RochesterDemocratAndChronicle1879,Stuart1878_reprint,truncated
TheInterOcean1879,Stuart1878_reprint,truncated
BostonEveningTranscript1879,Stuart1878_reprint,truncated
TheNewbernian1879,Stuart1878_reprint,truncated
TiffinTribune1879,Stuart1878_reprint,truncated
ThePeeDeeBee1879,Stuart1878_reprint,truncated
TheNewtownRegister1879,Stuart1878_reprint,truncated
SteubenFarmersAdvocate1879,Stuart1878_reprint,truncated
Stuart1880_TCE,Stuart1878_reprint,truncated
CambriaFreeman1880,Stuart1878_reprint,truncated
Hardacre1880_THR,Hardacre1880_SM_reprint,truncated
TheTimes1885,Witter1885_DAC_reprint,truncated
CincinnatiCommercialTribune1885,Witter1885_DAC_reprint,truncated
TheBostonWeeklyGlobe1885,Witter1885_DAC_reprint,truncated
StLouisGlobeDemocrat1885,Witter1885_DAC_reprint,truncated
Witter1885_TAC,Witter1885_DAC_reprint,truncated
TheEveningStar1885,Witter1885_DAC_reprint,truncated
TheEveningTelegram1885,Witter1885_DAC_reprint,truncated
ChristianUnion1885,Witter1885_DAC_reprint,truncated
BangorDailyWhigAndCourier1885,Witter1885_DAC_reprint,truncated
RockyMountainNews1885,Witter1885_DAC_reprint,truncated
TheDailyBee1885,Witter1885_DAC_reprint,truncated
TheDailyPicayune1885,Witter1885_DAC_reprint,truncated
StLouisPostDispatch1885,Witter1885_DAC_reprint,truncated
HeraldAndTribune1885,Witter1885_DAC_reprint,truncated
AugustaChronicle1885,Witter1885_DAC_reprint,truncated
TheTelegraphAndMessenger1885,Witter1885_DAC_reprint,truncated
GalvestonDailyNews1885,Witter1885_DAC_reprint,truncated
TheBathPlaindealer1885,Witter1885_DAC_reprint,truncated
TheIndianaStateSentinel1885,Witter1885_DAC_reprint,truncated
TheKansasCityEveningStar1885,Witter1885_DAC_reprint,truncated
NewHampshireSentinel1885,Witter1885_DAC_reprint,truncated
WeeklyNewsAndDemocrat1885,Witter1885_DAC_reprint,truncated
UticaObserver1885,Witter1885_DAC_reprint,truncated
TheAmsterdamDailyDemocrat1885,Witter1885_DAC_reprint,truncated
TheTopekaDailyCapital1885,Witter1885_DAC_reprint,truncated
OswegoTimesExpress1885,Witter1885_DAC_reprint,truncated
NewsAndCitizen1885,Witter1885_DAC_reprint,truncated
CortlandNews1885,Witter1885_DAC_reprint,truncated
MadisonCountyTimes1885,Witter1885_DAC_reprint,truncated
BismarckDailyTribune1885,Witter1885_DAC_reprint,truncated
CambriaFreeman1885,Witter1885_DAC_reprint,truncated
SaltLakeEveningDemocrat1885,Witter1885_DAC_reprint,truncated
ReadingTimes1885,Witter1885_DAC_reprint,truncated
TheDawn1881,Witter1885_DAC_reprint,truncated
SanFranciscoChronicle1893_Jul10,Roberts1886_reprint,truncated
Roberts1893,Roberts1886_reprint,truncated
GreenburghRegister1893_Aug25,Roberts1886_reprint,truncated
TheEastHamptonStar1893,Roberts1886_reprint,truncated
TheWilsonMirror1893,Roberts1886_reprint,truncated
TheMalvernLeader1893,Roberts1886_reprint,truncated
FortWorthDailyGazette1887,TheTimes1887_reprint,truncated
TheWorthingtonAdvance1887,TheTimes1887_reprint,truncated
ChicagoDailyTribune1891,TheWeeklyFreePress1891_reprint,truncated
Blanco1882,Blanco1882_TIS_reprint,truncated
TheWesternChampion1892,SanFranciscoExaminer1892_reprint,truncated
NewYorkRecorder1893,Gibbons1893_reprint,truncated
StLouisRepublic1893,Gibbons1893_reprint,truncated
TheMorningBulletin1897,NewYorkHerald1896_reprint,truncated
TheTelegraph1898,NewYorkHerald1896_reprint,truncated
MaryboroughChronicle1897,NewYorkHerald1896_reprint,truncated
NorthOtagoTimes1902,NewYorkHerald1896_reprint,truncated
TheBruceHerald1902,NewYorkHerald1896_reprint,truncated
GreatSouthernHerald1914,NewYorkHerald1896_reprint,truncated
Yates1907,Yates1896_reprint,truncated
TheEveningNews1899,Holder1899_reprint,truncated
Holder1899_TOW,Holder1899_reprint,truncated
Holder1901,Holder1899_reprint,truncated
Gassaway1905_BDH,Gassaway1905_reprint,truncated
Gassaway1905_BDE,Gassaway1905_reprint,truncated
Gassaway1905_KCS,Gassaway1905_reprint,truncated
Gassaway1905_TFWS,Gassaway1905_reprint,truncated
TheWashingtonPost1905,Gassaway1905_reprint,truncated
Gassaway1905_BA,Gassaway1905_reprint,truncated
EnglewoodTimes1905,Gassaway1905_reprint,truncated
Gassaway1905_TSWM,Gassaway1905_reprint,truncated
Gassaway1905_TSLR,Gassaway1905_reprint,truncated
Gassaway1905_TTDC,Gassaway1905_reprint,truncated
Gassaway1905_TSLT,Gassaway1905_reprint,truncated
Gassaway1905_DCJ,Gassaway1905_reprint,truncated
Gassaway1905_TTT,Gassaway1905_reprint,truncated
Gassaway1905_ACFP,Gassaway1905_reprint,truncated
Gassaway1905_NA,Gassaway1905_reprint,truncated
Gassaway1905_TID,Gassaway1905_reprint,truncated
Gassaway1905_TCR,Gassaway1905_reprint,truncated
DailyPeople1906,Gassaway1905_reprint,truncated
Davidson1943_TGDN,Davidson1943_TB_reprint,truncated
