article_id,group_reprint_id
MillennialStar1892,SanFranciscoExaminer1892_reprint
TheOtagoWitness1892,SanFranciscoExaminer1892_reprint
TheWesternChampion1892,SanFranciscoExaminer1892_reprint
LakeWakatipMail1892,SanFranciscoExaminer1892_reprint
Gibbons1893,Gibbons1893_reprint
NewYorkRecorder1893,Gibbons1893_reprint
StLouisRepublic1893,Gibbons1893_reprint
Chicago Blade (see StillSearching),Chicago Blade (see StillSearching)_reprint
Eames1892,Chicago Blade (see StillSearching)_reprint
Eames1893,Chicago Blade (see StillSearching)_reprint
TheCincinnatiEnquirer1895,Chicago Blade (see StillSearching)_reprint
NewYorkTimes1895,Chicago Blade (see StillSearching)_reprint
TheSun1896,Chicago Blade (see StillSearching)_reprint
MorningTribune1896,Chicago Blade (see StillSearching)_reprint
SanDiegoUnion1896,Chicago Blade (see StillSearching)_reprint
Los Angeles Globe-Democrat (see StillSearching),Chicago Blade (see StillSearching)_reprint
TheCincinnatiEnquirer1897,Chicago Blade (see StillSearching)_reprint
BuffaloCourierRecord1897,Chicago Blade (see StillSearching)_reprint
TheBryanDailyEagle1897,Chicago Blade (see StillSearching)_reprint
MorningOregonian1897,Chicago Blade (see StillSearching)_reprint
TheTimes1899,Chicago Blade (see StillSearching)_reprint
TheLeavenworthTimes1900,Chicago Blade (see StillSearching)_reprint
TheDeseretEveningNews1900,Chicago Blade (see StillSearching)_reprint
Chicago Record (see StillSearching),Chicago Blade (see StillSearching)_reprint
DemocratAndChronicle1901,Chicago Blade (see StillSearching)_reprint
ThePittsburgPress1901,Chicago Blade (see StillSearching)_reprint
Tinsley1901,Chicago Blade (see StillSearching)_reprint
TheNewYorkPress1901,Chicago Blade (see StillSearching)_reprint
Oregonian1901,Chicago Blade (see StillSearching)_reprint
ChicagoDailyTribune1902,Chicago Blade (see StillSearching)_reprint
TheBrooklynDailyEagle1904,Chicago Blade (see StillSearching)_reprint
ThePittsburgPress1904,Chicago Blade (see StillSearching)_reprint
ClevelandPlainDealer1904,Chicago Blade (see StillSearching)_reprint
TheDearbornIndependent1920,Chicago Blade (see StillSearching)_reprint
TheOxnardDailyCourier1920,Chicago Blade (see StillSearching)_reprint
Roberts1886,Roberts1886_reprint
TheMorningCall1893,TheMorningCall1893_reprint
SanFranciscoChronicle1893_Jul7,TheMorningCall1893_reprint
SanFranciscoChronicle1893_Jul8,TheMorningCall1893_reprint
SanFranciscoChronicle1893_Jul10,TheMorningCall1893_reprint
Roberts1893,TheMorningCall1893_reprint
ArizonaWeeklyJournalMiner1893,TheMorningCall1893_reprint
GreenburghRegister1893_Aug11,TheMorningCall1893_reprint
GreenburghRegister1893_Aug25,TheMorningCall1893_reprint
TheEastHamptonStar1893,TheMorningCall1893_reprint
TheWilsonMirror1893,TheMorningCall1893_reprint
TheMalvernLeader1893,TheMorningCall1893_reprint
Robinson1891,Robinson1891_reprint
Robinson1897,Robinson1897_reprint
Bowers1892,Bowers1892_reprint
Mathis1899,Bowers1892_reprint
TheCincinnatiEnquirer1899,Bowers1892_reprint
SanFranciscoChronicle1894,SanFranciscoChronicle1894_reprint
Exchange (see StillSearching),Exchange (see StillSearching)_reprint
DemocratAndChronicle1894,Exchange (see StillSearching)_reprint
NewYorkHerald1896,NewYorkHerald1896_reprint
WeeklyIrishTimes1896,NewYorkHerald1896_reprint
TheSaintPaulGlobe1896,NewYorkHerald1896_reprint
Glasgow Mail (see Still Searching),NewYorkHerald1896_reprint
TheMorningBulletin1897,NewYorkHerald1896_reprint
TheTelegraph1898,NewYorkHerald1896_reprint
MaryboroughChronicle1897,NewYorkHerald1896_reprint
NorthOtagoTimes1902,NewYorkHerald1896_reprint
TheBruceHerald1902,NewYorkHerald1896_reprint
GreatSouthernHerald1914,NewYorkHerald1896_reprint
Yates1896,Yates1896_reprint
Yates1907,Yates1896_reprint
Bennett1898,Bennett1898_reprint
TheSacredHeartReview1898,Bennett1898_reprint
Holder1899,Holder1899_reprint
TheEveningNews1899,Holder1899_reprint
Holder1899_TOW,Holder1899_reprint
Holder1901,Holder1899_reprint
FHDudley1901,FHDudley1901_reprint
MEDudley1901,FHDudley1901_reprint
MEDudley1901_TEJ,FHDudley1901_reprint
DemocraticHerald1901,FHDudley1901_reprint
AlleganyCountyRepublican1901,FHDudley1901_reprint
MEDudley1901_TSC,FHDudley1901_reprint
MEDudley1901_TCN_Nov8,FHDudley1901_reprint
MEDudley1901_TCN_Nov9,FHDudley1901_reprint
MEDudley1901_TNR,FHDudley1901_reprint
TheBannerDemocrat1901,FHDudley1901_reprint
Julian1901_TS,Julian1901_TS_reprint
Julian1901_TBH,Julian1901_TS_reprint
Gassaway1905,Gassaway1905_reprint
Gassaway1905_BDH,Gassaway1905_reprint
Gassaway1905_ACFP,Gassaway1905_reprint
Gassaway1905_KCS,Gassaway1905_reprint
Gassaway1905_TFWS,Gassaway1905_reprint
EnglewoodTimes1905,Gassaway1905_reprint
Gassaway1905_BA,Gassaway1905_reprint
Gassaway1905_TSWM,Gassaway1905_reprint
TheWashingtonPost1905,Gassaway1905_reprint
Gassaway1905_TSLR,Gassaway1905_reprint
Gassaway1905_TTDC,Gassaway1905_reprint
Gassaway1905_TSLT,Gassaway1905_reprint
Gassaway1905_DCJ,Gassaway1905_reprint
Gassaway1905_TTT,Gassaway1905_reprint
Gassaway1905_BDE,Gassaway1905_reprint
Gassaway1905_NA,Gassaway1905_reprint
Gassaway1905_TID,Gassaway1905_reprint
Gassaway1905_TCR,Gassaway1905_reprint
DailyPeople1906,Gassaway1905_reprint
TheGazetteTimes1906,TheGazetteTimes1906_reprint
Chicago Chronicle (see StillSearching),TheGazetteTimes1906_reprint
TheDailyNews1907,TheGazetteTimes1906_reprint
CorsicanaDailySun1921,CorsicanaDailySun1921_reprint
TheBeloitDailyCall1921_Jun28,CorsicanaDailySun1921_reprint
TheAlmanceGleaner1921,CorsicanaDailySun1921_reprint
GalenaWeeklyRepublican1921,CorsicanaDailySun1921_reprint
TheDailyCourierGazette1921,CorsicanaDailySun1921_reprint
TheEveningGazette1921,CorsicanaDailySun1921_reprint
MountCarmelItem1921,CorsicanaDailySun1921_reprint
TheBeloitDailyCall1921_Jul7,CorsicanaDailySun1921_reprint
ErieCountyIndependent1921,CorsicanaDailySun1921_reprint
TheEveningNews1921,CorsicanaDailySun1921_reprint
TheSuffolkCountyNews1921,CorsicanaDailySun1921_reprint
TheBemidjiDailyPioneer1921,CorsicanaDailySun1921_reprint
GenevaDailyTimes1921,CorsicanaDailySun1921_reprint
SkaneatelesFreePress1921,CorsicanaDailySun1921_reprint
TheFayettevilleBulletin1921,CorsicanaDailySun1921_reprint
TheChanuteDailyTribune1921,CorsicanaDailySun1921_reprint
TheEastHamptonStar1921,CorsicanaDailySun1921_reprint
TheOswegoPalladium1921,CorsicanaDailySun1921_reprint
LipscombLimeLight1921,CorsicanaDailySun1921_reprint
TheRioGrandeRepublic1922,CorsicanaDailySun1921_reprint
CortlandStandard1926,CorsicanaDailySun1921_reprint
