person_writing,type,key,name,write_up,notes
EA,"persName type=""author",#vhe,Victor Herbert,"Victor Herbert (1859-1924): a composer of operettas, operas, and light music most famous for operettas such as <i>Babes in Toyland</i> and <i>The Fortune Teller</i>. He also wrote the opera <i>Natoma</i>, which focuses on the romance between a Santa Barbara Indian and a naval captain.",http://academic.eb.com/EBchecked/topic/262725/Victor-Herbert http://operetta-research-center.org/natoma-victor-herberts-grand-opera-live/
EA,persName,#mary,Virgin Mary,"Virgin Mary: the mother of Jesus and a character of veneration since the earliest days of Christianity. Also known as the Guadalupe Virgin, she is a common subject in Western art, music, and literature. In Roman Catholicism, Mary appeared in a vision to Juan Diego in 1531; he then created an extremely popular image of her surrounded by roses that has become a national symbol of Mexico and is still an object of devotion for Catholics in the twenty-first century.",http://academic.eb.com/EBchecked/topic/367422/Mary http://academic.eb.com/EBchecked/topic/629932/Our-Lady-of-Guadalupe
Rachel,"persName type=""author""",#vth,Virginia Thomson,Virginia Thomson: no further information has been found excepting her association with the California Historical Society during this time.,
Rachel,persName,#weroth,Walter Edmund Roth,Walter Edmund Roth (1861-1933): an English physician and anthropologist. He was educated at the University College School in London and Oxford University. Roth moved to Australia where he documented aboriginal culture and was appointed the first Northern Protector of Aboriginals. He campaigned against abuses and exploitation of Native populations and contributed to legislation concerning the treatment of aboriginal populations. He is widely published.,"http://adb.anu.edu.au/biography/roth-walter-edmund-8280

http://books.google.com/books?id=30sxAQAAMAAJ&pg=PA34&lpg=PA34&dq=%22W.+E.+Roth%22+american+anthropological+association&source=bl&ots=ogkQN-C-Kb&sig=n3lw3imNLMJfxAvGcYDPLgVJlrg&hl=en&sa=X&ei=x8-fU6T_FZauyATu8oGgDw&ved=0CEYQ6AEwBw#v=onepage&q=%22W.%20E.%20Roth%22%20american%20anthropological%20association&f=false"
Rachel,"persName type=""author""",#wjm,Walter John de la Mare,"Walter John de la Mare (1873-1956): an English poet and author. De la Mare's first career was as an accountant for the Standard Oil Company, and he wrote only in his spare time on scrap office paper. His career as a poet and author began after he was thirty, and his published works include <i>Songs of Childhood</i> (1902, as Walter Ramal), <i>The Return</i> (1910), and <i>Peacock Pie</i> (1913).",http://www.oxforddnb.com/templates/article.jsp?articleid=32771&back=; http://www.poetryfoundation.org/bio/walter-de-la-mare
Rachel,persName,#wli,Walter Lindley,"Walter Lindley (1852-1922): a physician and philanthropist. Lindley attended Long Island College Hospital before moving to Los Angeles and becoming a prominent community figure. There he served as a Health Officer and practiced medicine until his death. Lindley was instrumental in a number of efforts to improve public health and the conditions of orphans, helping establish many organizations to support these causes, including a free clinic, a reform school, an orphanage, the University of Southern California's College of Medicine, and one of the west coast's most successful hospitals (the California Hospital Medical Center, still in operation today).","http://www.oac.cdlib.org/findaid/ark:/13030/kt7m3nd554/entire_text/

http://www.oac.cdlib.org/findaid/ark:/13030/kt7m3nd554/

http://www.jstor.org/discover/10.2307/41170374?uid=3739896&uid=2&uid=4&uid=3739256&sid=21104415138463

http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1517262/pdf/calstatejmed00017-0023b.pdf

http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1517274/pdf/calstatejmed00017-0036a.pdf

http://dbase1.lapl.org/webpics/calindex/documents/06/366586.pdf"
Sara,persName,#wch,Walter Scott Chaffee,"Walter Scott Chaffee (1835?-94): founding resident of San Buenaventura, California. He was co-owner of the Chaffee and McKeeby General Store. In 1866, Chaffee was elected to the town’s first board of trustees.","J. Winchester, Statues of California (1866); http://www.cityofventura.net/files/file/comm-develop/Downtown/Survey%20Report%20FULL.pdf; gravestone via ancestry.com"
Rachel,persName,#wkmoore,Warren K. Moorehead,"Warren K. Moorehead: an amateur archaeologist, born in Italy and raised in Xenia, Ohio, who served as the first curator of archaeology for the Ohio Historical Society. As a young man, his collections of Ohio artifacts caught the attention of leading archaeologists, who hired him to excavate prehistoric sites associated with the Hopewell people. Moorehead is particularly well-known for his work at Fort Ancient and the Hopewell Mound Group; artifacts obtained were sent to the Columbian Exposition of 1893. As a member of the board of commissioners for the Bureau of Indian Affairs (appointed in 1909), Moorehead also advocated for living Native American peoples and worked to expose the abuses of Indian agents. Moorehead published widely, for collectors as well as professionals. His books include <i>The Stone Age in North America</i> (1910).","http://www.archaeologybulletin.org/article/view/bha.2112/3; http://www.ohiohistorycentral.org/w/Warren_K._Moorehead

http://onlinelibrary.wiley.com/advanced/search/results

http://www.aaanet.org/sections/csas/wp-content/uploads/2012/03/Isaac_Barry_2001_CSAS_History_The_Early_Years_2011-11-04_Reformatted.pdf"
EA,"persName type=""frontiersman""",#wbean,William Bean,"William Bean: the son of Col. Robert Bean. He assisted his father in leading a forty-eight man expedition from Fort Smith to New Mexico. Although his father was not popular with the other men, William was well regarded.",http://www.nifty-gadgets.com/Puppo_Family/Records/Multi/mm109.PDF
Sara,"persName type=""frontiersman""",#jfo,Julien Foxen,"William Benjamin Foxen (1796-1874): English merchant seaman who traded in Alta and Baja California before marrying into the Californio elite and acquiring a ranch; in Mexican California, he went by the name Guillermo Domingo, though local Indians called him ""Don Julien."" During the Mexican-American War, Foxen’s sympathies were with the United States and a legend arose that he tipped off John C. Frémont about an impeding ambush in Santa Barbara. During the American period, Foxen served as a horse-breeder and his adobe home became a stop on the stagecoach route.","http://www.sanramonchapel.org/Documents/Foxen.pdf
http://www.independent.com/news/2012/dec/18/who-was-benjamin-foxen/
http://www.independent.com/news/2012/dec/18/who-was-benjamin-foxen/"
