person_writing,type,key,name,write_up,notes
Rachel,persName,#abr,Grace Lincoln Hall Brosseau,"Grace Lincoln Hall Brosseau (1872-1959): President General of the Daughters of the American Revolution (DAR) from 1926-29 and a leader of the American Coalition of Patriotic Societies beginning in 1930. In both roles, Brosseau raised alarms about ""radical"" and ""subversive"" activity in the United States, and she lectured on the need for military preparedness. The DAR received substantial, controversial publicity during this time when a society member who was later expelled made public a list of left-leaning speakers and organizations that the DAR considered ""doubtful.""  Brosseau defended the DAR's maintenance of the list.  Brosseau, who was born in Illinois, was the wife of a wealthy Michigan businessman (president of Mack Trucks, Inc.).  Together, the couple gave what at the time was one of the largest gifts ever made to the University of Michigan, funds that supported student scholarships.","Kim E Nielsen, Un-American Womanhood: Antiradicalism, Antifeminism, and the First Red Scare (Ohio State UP, 2011); 
http://asteria.fivecolleges.edu/findaids/sophiasmith/mnsss130.html; Michigan Alumnus, vol. 33; DAR Lineage Book (Miss Grace Lincoln Hall - birth in ILL); http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=44785399"
Rachel,persName,#gga,Greta Garbo,Greta Garbo (1950-90): a film actress. Her appearances include <i>Grand Hotel</i> (1932) and <i>Camille</i> (1936).,"http://books.google.com/books?id=WSaMu4F06AQC&pg=PA227&hl=en#v=onepage&q&f=false

http://www.imdb.com/name/nm0001256/"
Sara,persName,#gcar,Guillermo Anastacio Eusebio Carrillo,Guillermo Anastacio Eusebio Carrillo: the son of Anastacio José Carillo y Lugo and much younger brother of José Raymundo Tiburcio Carrillo (commander of Santa Barbara Presidio and later mayor of Santa Barbara). He was baptized in 1826.,ECPP baptismal record (through Susan)
Sara,persName,#ghart,"Guillermo Antonio Hartnell, Sr.","Guillermo Antonio Hartnell, Sr. (1826-?): businessman, ranchero, teacher, translator, and son of William Edward Petty Hartnell (1798-1854). Born in England and educated in Germany, Hartnell Sr. first moved to Chile as an agent in John Begg & Co., a British firm (British influence increased as Latin American countries gained independence). Several years later he formed a partnership with Hugh McCulloch to enter the hide and tallow trade and relocated to Alta California, where he converted to Catholicism, married Maria Teresa de la Guerra and into a wealthy Californio family, and became a naturalized Mexican citizen. He became a ranchero, operated a school (El Seminario del Patrocinio de San Jose), and served as a translator for many government documents during the transition between Mexican and US rule. His son Hartnell Jr. had married and moved to Santa Barbara by 1852.",Bancroft's California Pioneer Register; http://en.wikipedia.org/wiki/William_Edward_Petty_Hartnell
Rachel,"persName type=""author""",#gei,Gustavus Augustus Eisen,"Gustavus Augustus Eisen (1847-1940): a Swedish scientist. Eisen attended the University of Uppsala, then settled in California. He was an active member of the California Academy of Sciences, serving as curator of varied departments during his career. Eisen was a pioneering California vintner and built the Eisen Vineyard; he is also well-known for spearheading early conservation efforts for the giant sequoias of the Sierra Nevada.","http://wwx.inhs.illinois.edu/files/5013/8921/2402/Gustav_Eisen_biov4.pdf

http://www.sequoiaparksfoundation.org/2012/historic-people-and-places-gustav-eisen/

http://researcharchive.calacademy.org/research/library/special/bios/Eisen.pdf"
Rachel,persName,#bloom,H. R. Bloomer,"H. R. Bloomer (1821-74): botanist and collector. Bloomer attended Newburgh College (New York, now part of the SUNY system) and served in various positions in the California Academy of Sciences.",http://researcharchive.calacademy.org/research/scipubs/pdfs/v59/proccas_v59_n07.pdf
Rachel,"persName type=""author""",#henshaw,H. W. Henshaw,"H. W. Henshaw: a naturalist and ornithologist. Henshaw collected specimens on Santa Cruz Island for the Smithsonian in 1875, alongside Dr. Joseph Trimble Rothrock Rothrock and Dr. Oscar Loew.","http://researcharchive.calacademy.org/research/herpetology/pdfs/herp_pdfs_archive/proccas_s03_v04_n01.pdf

https://archive.org/details/jstor-2447956. ""Dictionary of Elevations of the United States"" is an article from The American Naturalist, Volume 8."
Sara,"persName type=""frontiersman""",#hac,Hace,Hace: a member of the 1830-33 hunting and trapping expedition of which George Nidever was a part. He left the group in 1831 while in New Mexico.,"Weber, David J. The Taos Trappers: The Fur Trade in the Far Southwest, 1540-1846. Norman, Oklahoma: University of Oklahoma Press, 1971."
Rachel,"persName type=""author""",#heb,Harold Hal Eberhart,"Harold Hal Eberhart: an archaeologist (PhD, cultural anthropology, UCLA) whose work centered on California; he taught at California State University at Los Angeles.","http://www.jdcoopercenter.org/the-1930-s-through-the-1960-shttp://www.cityofsanmarino.org/pdf_forms/library/VolumeI.pdf

Diss Abstracts"
EA,persName,#har,Harril,"Harril: the husband of Isabella Nidever Harril, George Nidever's sister.",http://www.neideffer.org/george_nidever.htm http://www.physics.sfsu.edu/~dnidever/homepage/genea.htm
Rachel,persName,#hrvoth,Heinrich Richert Voth,"Heinrich Richert Voth (1855-1931): ethnographer and Mennonite missionary who moved with his family from Russia to the United States. Voth attended the Christian Educational Institute, Theological Seminary of the Evangelical Synod of North America, and St. Louis Medical College before beginning educational mission work with the Cheyenne and Arapaho. Voth believed that Native peoples must eschew their culture to thrive; as an ethnographer, he studied the cultures he simultaneously worked to eradicate. Voth later founded a Mission for the Hopi in Arizona.","http://digital.library.okstate.edu/encyclopedia/entries/V/VO001.html

http://gameo.org/index.php?title=Voth%2C%20Henry%20R.%20%281855-1931%29"
Rachel/Sara,"persName type=""author""",#hsc,Heinrich Schliemann,"Heinrich Schliemann (1822-90): a German-born businessman and archaeologist who rose from a poor cabin boy to become a wealthy merchant adept at languages and free to pursue his passion in archaeology. He is best known for his discovery of Homeric Troy, once believed to be fiction. Contemporary scholars now view the original excavation of Hisarlik, Turkey to be compromised, but the work of Schliemann and especially that of his later assistant, Wilhelm Doerpfeld, added greatly to understandings of prehistoric Western culture. Schliemann’s connection to California comes via St. Petersburg, where he was sent as an agent of his firm in the 1840s. During the Gold Rush he moved to the United States and became a US citizen.","http://www.britannica.com/EBchecked/topic/527668/Heinrich-Schliemann

http://cerhas.uc.edu/troy/q415.html

http://en.wikisource.org/wiki/The_Encyclopedia_United States-borna_(1920)/Schliemann,_Heinrich"
EA,"persName type=""author""",#hro,Helen Marguerite Roberts,"Helen Marguerite Roberts (1896-1983): an American writer and educator. From 1958 to 1975, she worked in Africa, bringing literacy, health education, and Christianiaty to adults in Kenya and Rhodesia. As part of this work, she also mentored many young people, including Barack H. Obama, the father of future US president Barack Obama.",http://www.outlived.org/person.php?id=87562 https://familysearch.org/ark:/61903/1:1:VG1H-ZYJ
Rachel,persName,#hfo,Henry Chapman Ford,Henry Chapman Ford (1828-94): an artist noted for his renderings of California landscapes. Ford co-founded both the Chicago Academy of Design and the Santa Barbara Natural History Society.,"http://books.google.com/books?id=59LKiAkJ3gQC&pg=PA12&lpg=PA12&dq=%22henry+chapman+ford%22+anacapa&source=bl&ots=-bWXz-7WiD&sig=r4XLwFmzChBGZrfcORJ7ELxWW9o&hl=en&sa=X&ei=hYGKU5nVJrHRsQTru4HYDw&ved=0CDwQ6AEwAA#v=onepage&q=%22henry%20chapman%20ford%22%20anacapa&f=false

http://islapedia.com/index.php?title=FORD,_Henry_Chapman"
Rachel,"persName type=""seaman""",#taylor,Henry Clay Taylor,"Henry Clay Taylor (1845-1904): a sailor and naval officer. A graduate of the United States Naval Academy, Taylor fought in both the Civil and Spanish-American Wars and served as president of the Naval War College.","http://www.history.navy.mil/danfs/t3/taylor-i.htm

file:///C:/Users/Alan/Downloads/Captain-Henry-C-Taylor.pdf"
EA,"persName type=""author""",#hti,Henry G. Tinsley,"Henry G. Tinsley (c. 1866-1921): a newsman who published several California newspapers, most notably the <i>Pomona Progress</i>.",http://www.patchworkpedigree.com/getperson.php?personID=I6774&tree=JeansTree https://books.google.com/books?id=fgIhAQAAMAAJ&pg=RA1-PA62&lpg=RA1-PA62&dq=%22the+pomona+progress%22+henry+tinsley&source=bl&ots=zukx5SiKif&sig=srngZbeUygkxkjgIwpT1qcK5egA&hl=en&sa=X&ved=0ahUKEwiz7-mIgdrMAhVIbSYKHT-RApIQ6AEIHDAA#v=onepage&q=%22the%20pomona%20progress%22%20henry%20tinsley&f=false ; https://books.google.com/books?id=fgIhAQAAMAAJ&pg=RA1-PA62&lpg=RA1-PA62&dq=%22the+pomona+progress%22+henry+tinsley&source=bl&ots=zukx5SiKif&sig=srngZbeUygkxkjgIwpT1qcK5egA&hl=en&sa=X&ved=0ahUKEwiz7-mIgdrMAhVIbSYKHT-RApIQ6AEIHDAA#v=onepage&q=%22the%20pomona%20progress%22%20henry%20tinsley&f=false
Rachel,persName,#hmor,Henry H. More,"Henry H. More: one of the very successful More brothers, all of whom became prominent figures in the development of the region around Santa Barbara in the mid-nineteenth century. Between 1859-70, three of the brothers (A. P., T. Wallace, and Henry H. More) acquired sole proprietorship of Santa Rosa Island and developed the island into a thriving sheep-raising venture.","http://www.nps.gov/chis/historyculture/santarosaisland.htm

http://www.rootsweb.ancestry.com/~cagha/biographies2/bios2/more-john-f.txt"
EA,"persName type=""author""",#hey,Henry James Ten Eyck,Henry James Ten Eyck (1856-87): an editor of the <i>Albany Evening Journal</i>. He graduated from Yale College (where he was third in his class) in 1879 before entering the newspaper industry.,https://books.google.com/books?id=lGFAAAAAIAAJ&pg=PA424&lpg=PA424&dq=henry+james+ten+eyck&source=bl&ots=nl9U3T31dC&sig=OjDmv_Cn5CWcGqiNbGK18FF3ld8&hl=en&sa=X&ved=0CCwQ6AEwA2oVChMIxI-1l7HoxwIVC4wNCh3xmg_h#v=onepage&q=henry%20james%20ten%20eyck&f=false http://orbexpress.library.yale.edu/vwebv/holdingsInfo?bibId=1861219
Sara,persName,#hni,Henry Nidever,"Henry Nidever (1809-49): farmer and brother of George Nidever (junior). He was born in Sullivan County, Tennessee and died in Lamar, Delta, Texas.",
Sara,persName,#htd,Henry T. Dittman,"Henry T. Dittman (1913-88): grandson of Carl Dittman (""Charley Brown""), who, along with George Nidever, brought the Lone Woman from San Nicolas Island to the California mainland in 1853.",
Rachel,persName,#hwbe,Henry Ward Beecher,"Henry Ward Beecher (1813-87): religious leader and activist. Beecher was the son of a prominent Calvinist minister of the Second Great Awakening and part of a family of reformers that included his sister, Harriet Beecher Stowe (anti-slavery activist and author of <i>Uncle Tom's Cabin</i>). Beecher attended Amherst College and afterward became a Presbyterian minister. As his theology became increasingly liberal (dubbed the ""Doctrine of Love""), Beecher became more politically active. He advocated for the abolition of slavery, was greatly influenced by the transcendental movement, and pastored one of the first ""mega-churches"" in the United States.",http://topics.nytimes.com/top/reference/timestopics/people/b/henry_ward_beecher/index.html
Rachel,persName,#hbrown,Herbert Brown,"Herbert Brown: this account does not give further information identifying this individual, but possibly refers to Herbert H. Brown, a naturalist, archaeologist, and the first curator of the Arizona State Museum.",http://www.statemuseum.arizona.edu/blog/herbert-h-brown-first-curator-of-arizona-state-museum-1893/
Rachel,name,#her,Hercules,"Hercules: the mythological son of Zeus and Alcmene. As a half-god, half-mortal, the story of Hercules centers around the feats by which he earns his place on Mount Olympus.",http://www.ancient.eu.com/hercules/
Rachel,"persName type=""frontiersman""",#hcor,Hernán Cortés,"Hernán ""Hernando"" Cortés (1485-1547): a Spanish conquistador, explorer, and governor and captain general of New Spain. Cortés aided Diego Velázquez in the conquest of Cuba and then commanded an expedition to Mexico, where he held the Aztec emperor Montezuma II hostage. He eventually took the capital Tenochtitlán and much of the surrounding area. Cortés later explored much of Central America trying to find a passage between the Pacific and Atlantic Oceans; instead, he arrived in California.","http://www.bbc.co.uk/history/historic_figures/cortes_hernan.shtml

http://www.britannica.com/EBchecked/topic/138839/Hernan-Cortes-marques-del-Valle-de-Oaxaca"
Baseball card,persName,#hva,Hilario Valenzuela,"Hilario Valenzuela: a Yaqui man who traveled with George Nidever and his otter-hunting crew to San Nicolas Island in 1853; the crew returned with the Lone Woman. According to Fernando Librado (Kitsepawit), J. P. Harrington's chief Venture&#241;o Chumash informant, Valenzuela received bone needles from the Lone Woman. The Yaqui homeland is in the present-day Mexican state of Sonora, and Valenzuela was born there around the year 1820.","Harrington notes research in progress (forthcoming publication by Susan Morris, John Johnson, and Steve Schwartz).  Bone needle information in Travis Hudson, ""Recently Discovered Accoutns Concerning the 'Lone Woman' of San Nicolas Island,"" Journal of California and Great Basin Anthropology 3 (1981): 193."
EA,persName,#bouc,Hipólito Bouchard,"Hipólito ""Hypolite"" Bouchard (c. 1785-1837): a French Argentine privateer who circumnavigated the globe in 1817. Given Argentine authority to attack and confiscate Spanish property, he raided Monterey, California, in 1818. After plundering the California coast, he retired to Peru, where he was killed by his own slaves in 1837.",http://www.missionscalifornia.com/stories/good-pirate.html http://mchsmuseum.com/bouchard.html
Rachel,"persName type=""investor""",#hmi,Hiram Wallace Mills,"Hiram Wallace Mills (1828-1915): a sheep ranch operator on San Miguel Island. Mills purchased the San Miguel ranch from George Nidever and his sons in 1869. Along with his brother Warren Mills and other investors, Mills created the Pacific Wool Growing Company. The company’s ranching efforts continued until the natural flora on San Miguel was exhausted; the ranch was sold in 1887.","http://www.islapedia.com/index.php?title=MILLS,_Hiram_Wallace

Island Legacies: A History of the Islands Within Channel Islands National Park, Historic Resource Study, Department of the Interior, National Park Service, Channel Islands National Park, California, D.S. (Dewey) Livingston 2016, Section 2: San Miguel Island, p. 51-54."
Sara,"persName type=""author""",#hru,Horatio Nelson Rust,"Horatio Nelson Rust (1828-1906): businessman, abolitionist, federal Indian agent, and amateur archaeologist and collector. Born and raised in Massachusetts, Rust spent eighteen years as a traveling salesman and relic collector in New England and eastern Canada before moving to Chicago and then, in his fifties, to Pasadena. During his lifetime he collected nearly 10,000 artifacts that helped build museum collections at institutions including Amherst, Beloit College (Wisconsin), the Field Museum of Natural History, the Smithsonian, the University of Pennsylvania, and Yale.","http://www.pcas.org/assets/documents/pagesfromrustweb-2_000.pdf;

Jane Apostol, ""Horation Nelson Rust:
Abolitionist, Archaeologist, Indian Agent,"" California History 58, 4 (1979/80);

http://www.jstor.org/discover/10.2307/41171009?uid=2129&uid=2&uid=70&uid=4&sid=21104088960107
"
Sara,persName,#sbaa,Hottentot Venus,"Hottentot Venus (1789?-1815): stage name for Sarah Baartman, one of several indigenous South African women brought to Europe and exhibited as sideshow attractions. Their racialized bodies became a means by which people attempted to differentiate between Caucasian and ""exotic"" femininity.",http://www.southafrica.info/about/history/saartjie.htm#.UyYdaemPKUk
Rachel,persName,#hswan,Howard Swan,"Howard Swan: a linguist and educator. Swan attended the University of California, Berkeley, Harvard University, and London University. He taught at the Guozijian, or Imperial College, in Beijing and was a member of the American Anthropological Association.","http://books.google.com/books?id=eL4GAQAAIAAJ&pg=PA213&lpg=PA213&dq=%22Howard+Swan%22+imperial+college&source=bl&ots=slkaywXIcN&sig=xUD6m_GYmuxh6VEf-Wx09B8vAeE&hl=en&sa=X&ei=PkSzU9jtAu6j8gHTr4BA&ved=0CB8Q6AEwAA#v=onepage&q=%22Howard%20Swan%22%20imperial%20college&f=false

http://archive.org/stream/evolutionracialh00guli/evolutionracialh00guli_djvu.txt

http://books.google.com/books?id=6NcgAQAAMAAJ&pg=PA455&lpg=PA455&dq=%22Howard+Swan%22+imperial+college&source=bl&ots=L98HyEdJID&sig=N6tqxFRmx1dBybXpK06dm8a66c8&hl=en&sa=X&ei=PkSzU9jtAu6j8gHTr4BA&ved=0CD8Q6AEwBw#v=onepage&q=%22Howard%20Swan%22%20&f=false

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=SFC19050901.2.93#"
Rachel,"name type=""fictional""",#huck,Hucklebery Finn,"Huckleberry Finn: titular character of <i>Adventures of Huckleberry Finn</i> (1884-85), the hugely popular and enduring coming-of-age novel by Mark Twain.",
Sara,"persName type=""author""",#hre,Hugo Reid,"Hugo Reid (1811-52) a Scottish emigrant to Mexico who migrated to Alta California and settled in Los Angeles. He married and adopted the children of a widowed Gabrieli&#241;a (Comicrabit) woman who was raised in San Gabriel Mission. Intermarriage with an Indian was an unusual practice in California at the time, but it gave Reid access to land and enabled his wife Victoria to pass into elite society during the Mexican period. Reid was given a substantial land grant, Rancho Santa Anita, by the Mexican governor Pio Pico in 1845. In 1850, Reid was elected to the California Congressional Convention. He is best known for a series of 22 letters written during 1852 that discuss the culture and language of the Gabrieli&#241;o people prior to European contact; they were published in the <i>Los Angeles Star</i> then reprinted in book form.",Victoria Reid and the Politics of Identity in Vicky Ruiz's Latina Legacies; http://en.wikipedia.org/wiki/Hugo_Reid
Sara,"persName type=""author""",#hba,Hubert Howe Bancroft,"Hurbert Howe Bancroft (1832-1918): historian and ethnologist who assembled and published a vast collection of archival and oral history materials on the West, broadly conceived. The University of California’s library, the Bancroft Library, is named in his honor.",
baseball card,persName,#iba,Iakov Babin,"Iakov Babin (?-1839?): a fur hunter who worked for the Russian American Company (RAC) in North America. Iakov Babin was the Russian overseer of an Alaska Native hunting crew on San Nicolas Island in 1814. Babin’s group massacred a large number of Nicole&#241;os after one sea otter hunter was killed. Babin was held responsible for the actions of his Alaska Native hunting crew by three RAC chief managers. Following his return to New Archangel (Sitka), he married a baptized California Indian woman.",http://orthodoxhistory.org/2011/02/11/iakov-babin-the-ilmena-island-massacre-of-1815-2/ http://www.fortrossstatepark.org/elproleplay.htm
Sara,"persName type=""frontiersman""",#igr,Isaac Graham,Isaac Graham: a member of the 1830-33 hunting and trapping expedition of which George Nidever was a part.,"Weber, David J. The Taos Trappers: The Fur Trade in the Far Southwest, 1540-1846. Norman, Oklahoma: University of Oklahoma Press, 1971."
Baseball card,"persName type=""investor""",#isp,Isaac J. Sparks,"Isaac J. Sparks (1803-67): hunter, merchant, and rancher. Isaac Sparks is known for sailing to San Nicolas Island in 1835 and returning to San Pedro with a group of islanders, leaving the Lone Woman behind.  A Spanish document notes that Sparks and seven men sailed from Santa Barbara on the schooner <i>Peor es Nada</i> in 1834; Charles Hubbard may have been serving as captain. Sparks had arrived in California in 1832, and he joined in many sea otter hunting trips on the California coast.  He owned the more than 22,000 acre Rancho Huasna, in present-day San Luis Obispo County.",
Baseball card,"persName type=""seaman""",#whi,Isaac Whittemore,"Isaac Whittemore (?-1818): US sea captain who worked with the Russian American Company transporting hunters and trading furs. Whittemore was wrongly connected to the massacre of the Nicole&#241;os in an 1856 <i>Santa Barbara Gazette</i> article, which claimed that he had left sea otter hunters on San Nicolas Island in 1811 and picked them up after a massacre occurred. This violence took place in 1814 and Whittemore was not involved.",
Baseball card,"persName type=""frontiersman""",#iwi,Isaac Williams,"Isaac Williams (1799-1856): an American who arrived in Los Angeles in 1832. He married a local woman in 1836 and by 1842, he owned Rancho Santa Ana del Chino. In 1855, he was appointed Collector of Customs at the Port of San Pedro. Secondary accounts claim Williams sailed to San Nicolas Island in 1835 when Nicole&#241;os were removed and taken to San Pedro. Either Charles Hubbard or Isaac Sparks served as captain for that voyage, although Williams might have been on board. According to George Nidever, Williams brought a Nicole&#241;a to his Los Angeles home.","Weber, David J. The Taos Trappers: The Fur Trade in the Far Southwest, 1540-1846. Norman, Oklahoma: University of Oklahoma Press, 1971."
Baseball card/Sara,persName,#ini,Isabel/Ysabel Tomasa Nidever,"Isabel/Ysabel Tomasa Nidever (1851-1930): one of George Nidever and Sinforosa Sanchez de Nidever’s two daughters. She was the youngest child and still a toddler, not yet two years old, when the Lone Woman came to live with the family in 1853.",Baseball card: find a Grave; Ancestry.com; Helen Parks Shapiro correspondence)
Sara,persName,#inid,Isabella Nidever,Isabella Nidever: sister of George Nidever (junior). ,
Rachel,"persName type=""nativeamerican""",#ish,Ishi,"Ishi (?-1916): a man who became famous as ""the last Yahi"" when, in 1911, he emerged from hiding and entered a populated section of California in search of food. The Yahi are a subgroup of the Yana people. This Native man was given the name ""Ishi"" (or ""man"") by anthropologists, and was studied and cared for by University of California researchers including Alfred Kroeber, T. T. Waterman, E. W. Gifford, and Saxton T. Pope. He was displayed to the public at the Phoebe Hearst Museum of Anthropology and became the subject of several books. More recent scholarship questions Ishi’s status as a ""last Indian.""","http://history.library.ucsf.edu/ishi.html

http://www.library.ucsf.edu/collections/archives/ucsf/ishi

http://www.berkeley.edu/news/media/releases/96legacy/releases.96/14310.html"
,persName,#kuskov,Ivan Kuskov,"Ivan Kuskov (1765-1823): founder and manager of Fort Ross, a Russian settlement in northern California from 1812 to 1821. Fort Ross served as an agricultural base for the Russian American Company’s Alaska holdings.",https://www.nps.gov/subjects/islandofthebluedolphins/ivan-kuskov.htm http://www.athanasius.com/camission/ft_ross.htm
Rachel,persName,#dup,J. B. Pigné-Dupuytren,J. B. Pigné-Dupuytren (1807-86): a French physician. Pigné-Dupuytren was educated in Europe and held various positions at the Anatomical Museum in Paris before emigrating to the United States.,http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18860804.2.90#
Rachel,"persName type=""author""",#jdgl,J. Duncan Gleason,J. Duncan Gleason (1881-1959): an illustrator and artist. His published works include <i>Islands of California</i> (1950) and <i>Islands and Ports of California</i> (1958).,"http://www.oac.cdlib.org/findaid/ark:/13030/kt4v19n8xp/

http://californiapioneer.org/for-history-buffs/san-pedro"
Rachel,"persName type=""seaman""",#jmu,J. R. Mullett,J. R. Mullett: a sea-lion hunter operating on the coast of Southern California during this time.,"

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=SFC18990805.2.34

http://books.google.com/books?id=3ENJAAAAYAAJ&pg=PA333&lpg=PA333&dq=%22captain+Mullett%22+san+francisco&source=bl&ots=o74vvI1yfK&sig=J-oUiSBNZSfJ-eyLAd2CXU3SE9I&hl=en&sa=X&ei=N1mOU8GaN7KrsQSg5IDIAw&ved=0CDsQ6AEwAw#v=snippet&q=Mullett&f=false"
Rachel,persName,#jwhast,J. W. Hastings,"J. W. Hastings: no further information has been found excepting his association with the American Anthropological Association during this time. This account possibly refers to John Woodland Hastings, a prominent biologist and member of the National Academy of Sciences.","http://www.pnas.org/content/104/3/693.full.pdf

http://query.nytimes.com/mem/archive-free/pdf?res=9C06E5DF1E3AE733A2575BC1A9649D946797D6CF

http://symposium.cshlp.org/content/72/i.full.pdf

http://www.pnas.org/content/93/25/14401.full"
EA,"persName type=""author""",#jbu,J. A. Bunting,"J.A. Bunting: a resident of Centerville, California, who was part of the three-woman committee responsible for the creation of <i>Historic Facts and Fancies</i>, a book of state history published in 1907 by the Federated Women's Clubs of California.",
EA,"persName type=""author""",#jth,J. E.Thane,"J.E. Thane: a resident of Niles, California, who was part of the three-woman committee responsible for the creation of <i>Historic Facts and Fancies</i>, a book of state history published in 1907 by the Federated Women's Clubs of California.",
Rachel,"persName type=""investor""",#jafo,James Alexander Forbes,"James Alexander Forbes (1805-81): businessman and government official in California, both during the Mexican and American periods. Forbes arrived in California in the 1830s, and was employed by Hudson's Bay Company before serving as British Vice-Consul to Mexico. Forbes ultimately became a partner in Barron, Forbes, & Company, with interests in a Santa Clara quicksilver mine. He built the Forbes Mill, which eventually grew into Los Gatos, California.","http://historylosgatos.org/cdm4/item_viewer.php?CISOROOT=/Forbes&CISOPTR=18&CISOBOX=1&REC=2

http://historyofberkeley.org/chapter02.html

http://www.losgatosca.gov/1539/James-Alexander-Forbes-Forbes-Mill

http://books.google.com/books?id=g4osAAAAIAAJ&pg=PA254#v=onepage&q=%22forbes%22&f=false

http://books.google.com/books?id=iXE78O09Z90C&pg=PA494&dq=british+consul+%22James+Alexander+Forbes%22&lr=&as_brr=3#v=onepage&q=%22James%20Alexander%20Forbes%22&f=false"
Sara,"persName type=""frontiersman""",#jan,James Anderson,James Anderson: a member of the 1830-33 hunting and trapping expedition of which George Nidever was a part.,"Weber, David J. The Taos Trappers: The Fur Trade in the Far Southwest, 1540-1846. Norman, Oklahoma: University of Oklahoma Press, 1971."
Sara,"persName type=""frontiersman""",#bas,James Basey,"James Basey: a member of the 1830-33 hunting and trapping expedition of which George Nidever was a part. Nidever describes him as a ""large powerful man.""","Weber, David J. The Taos Trappers: The Fur Trade in the Far Southwest, 1540-1846. Norman, Oklahoma: University of Oklahoma Press, 1971."
Rachel,"persName type=""author""",#dbo,James DeMoss Bowers,"James DeMoss Bowers (1863?-1917): an amateur archaeologist and collector. Along with his father Stephen DeMoss Bowers, he excavated sites in Southern California and on the Channel Islands. Father and son also published the <i>Ventura Free Press</i>.","http://islapedia.com/index.php?title=BOWERS,_DeMoss

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19000812.2.313.40"
Rachel,"persName type=""investor""",#jli,James Lick,"James Lick (1796-1876): a craftsman, businessman, and philanthropist who was born in Pennsylvania but who made his fortune first in South America (making and selling pianos) and then again in real estate ventures in booming, post-statehood California. Later in life, as a California millionaire, he became a patron of the sciences and left funds for what would eventually become the University of California's Lick Observatory.","http://query.nytimes.com/mem/archive-free/pdf?_r=1&res=9B00E0DE123EE43BBC4051DFB767838F669FDE

http://en.wikisource.org/wiki/The_Encyclopedia_United States-borna_(1920)/Lick,_James ?????

http://collections.ucolick.org/archives_on_line/James_Lick.html"
Rachel,persName,#jmooney,James Mooney,"James Mooney (1861-1921): an ethnographer. Mooney was largely self-taught and worked as a school teacher and journalist before applying to work with the Bureau of American Ethnology, with which he was employed for the rest of his life. He became known as an authority on Cherokee and Kiowa cultures and was noted for detail-driven field research and longstanding relationships with the peoples he studied. Mooney contributed numerous articles to the <i>Handbook of American Indians North of Mexico</i> (1907 and 1910).","http://www.nmnh.si.edu/naa/fa/mooney.pdf

http://books.google.com/books?id=kmBIAAAAYAAJ&pg=PA209&dq=%22james+mooney%22+1921&hl=en&sa=X&ei=kEkfU5oPzOiQB83CgfAF&ved=0CDcQ6AEwAg#v=onepage&q=%22james%20mooney%22%201921&f=false

http://scholar.google.com/citations?user=qRqGCJUAAAAJ&hl=en"
Sara,persName [no type],#jsjo,James Santiago Johnson,"James Santiago Johnson (1798?-1847): an Englishman who moved to Guaymas, Mexico as a young man to engage in the merchant shipping business. Johnson married a local woman and, in 1834, moved with her and several members of her family to Alta California. Once in California, Johnson split his time between Los Angeles and San Pedro, where he operated a ranch and had a home near the harbor. Johnson’s young daughter, Adelaide, was named a godmother to Tomás Guadalupe, a Nicole&#241;o who likely arrived in San Pedro on the <i>Peor es Nada</i> in 1835. Johnson was related to three other people who were named as godparents to other baptized Island Indians who likely arrived on the <i>Peor es Nada</i> as well.  It is possible that Johnson was on the <i>Peor es Nada</i> when the vessel brought the Nicole&#241;os to the mainland; J. J. Warner reported this fact in the <i>Los Angeles Star</i>.",
Rachel,persName,#jte,"James Terry, Jr.","James Terry, Jr. (1844-1912): an amateur anthropologist, artifact-collector, and researcher. Terry worked for his father in the clock industry before becoming a full-time collector of artifacts, primarily in the southwestern United States. He brought his findings (now known as the Terry Collection) to the American Museum of Natural History and served as curator from 1891-94, before a dispute with the Board of Trustees led to his dismissal.","http://www.nps.gov/chis/forteachers/upload/Schwartz-2003.pdf

http://www.amnh.org/our-research/anthropology/collections/collections-history/meso-United States-born-archaeology

http://quod.lib.umich.edu/c/clementsmss/umich-wcl-M-2946.2ter?view=text"
Rachel,persName,#jcalkins,James W. Calkins,"James W. Calkins: a banker and president of the First National Bank of Santa Barbara. In 1878, he built a mansion that now serves as the headquarters for the University Club, a private social venue.","http://www.independent.com/news/2014/jun/09/james-w-calkins-house/

http://books.google.com/books?id=UYg-AQAAMAAJ&pg=PA597&lpg=PA597&dq=%22James+W.+Calkins%22+%22santa+barbara%22&source=bl&ots=r8to_2P-3Y&sig=SKeSULkZJCgjJeR1OtQAkTnyueo&hl=en&sa=X&ei=KxWZU4yVMYm1yATfwoG4Bw&ved=0CDwQ6AEwBQ#v=onepage&q=%22James%20W.%20Calkins%22%20%22santa%20barbara%22&f=false"
