object_id,article_id,image_display_template,image_parent_id,image_file,image_object_location
AmericanAnthropologist1905_img5,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_5.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_5.png
AmericanAnthropologist1905_img6,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_6.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_6.png
AmericanAnthropologist1905_img7,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_7.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_7.png
AmericanAnthropologist1905_img8,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_8.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_8.png
AmericanAnthropologist1905_img9,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_9.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_9.png
AmericanAnthropologist1905_img10,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_10.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_10.png
AmericanAnthropologist1905_img11,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_11.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_11.png
AmericanAnthropologist1905_img12,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_12.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_12.png
AmericanAnthropologist1905_img13,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_13.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_13.png
AmericanAnthropologist1905_img14,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_14.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_14.png
ArizonaWeeklyJournalMiner1893_Original,ArizonaWeeklyJournalMiner1893,compound_object,,ArizonaWeeklyJournalMiner1893_DigSur_1.png,objects/ArizonaWeeklyJournalMiner1893/ArizonaWeeklyJournalMiner1893_DigSur_1.png
